,street_name,amenity_type,count
216,Puerto Consuelo II,ferry_terminal,1
217,Profeta Ageo,bus_station,1
218,Prince William Street,hospital,1
219,Praça Professor José Franklin,ferry_terminal,1
220,Praça Pereira Coutinho,bicycle_rental,1
221,Praça Bom Jesus,motorcycle_parking,4
222,Pichincha,bus_station,1
223,Península Lazer & Urbanismo,parking_entrance,1
224,Península,bicycle_parking,1
225,Pedro Carbo,fast_food,1
226,Pastaza,bus_station,1
227,Passagem Ramo Esmeralda,community_centre,1
228,Passagem Moraes,community_centre,1
229,Passagem Fé em Deus,bus_station,1
230,Passagem Dalva,bus_station,1
231,Pasaje Amanecer,bus_station,1
232,Pasaje 22,bus_station,1
233,Parque Piauí,bus_station,1
234,Padre Egidio Cardozo,parking_entrance,1
235,P. M. Araoz: Calle 58,bicycle_parking,1
236,Onceava,police,1
237,Olessio,public_bookcase,1
238,Obispo Mosquera,pharmacy,1
239,Mz C,car_wash,1
240,Montalvo,atm,1
241,Montalvo,bus_station,1
242,Miguel Delgado,school,1
243,Miguel Cordero Davila,parking_entrance,1
244,Miguel Cordero Davila,hospital,2
245,Maximiliano Spiller,school,1
246,Mariano Cueva,taxi,1
247,Marchena,cafe,1
248,Marbella,school,1
249,Manzana 17,pharmacy,1
250,Manuel Verbal,parking,1
251,Manuel Orozco,place_of_worship,2
252,Manuel J Calle,university,1
253,Manuel Estrada,university,1
254,Manta,restaurant,1
255,M. I. Loza,school,1
256,Luis Vernaza,bus_station,1
257,Luis Moreno Mora,parking_entrance,1
258,Luis Bastidas,restaurant,1
259,Los Rios,school,1
260,Los Maquis,place_of_worship,1
261,Los Arrayanes de Sauzalito,fast_food,1
262,Londrina Country Club,parking_entrance,2
263,Las Clivas,parking_entrance,1
264,Junín,pharmacy,1
265,Juan Emiliano O'Leary,bank,1
266,José Zavala Ríos,taxi,1
267,José Rodriguez Peralta,parking_entrance,1
268,José Monreal,kindergarten,1
269,Josefa Rosello,hospital,1
270,Jirón Ancash,place_of_worship,1
271,Jardim do Alto,parking_entrance,1
272,Intendente Paz,place_of_worship,1
273,Ingeniero Olmos,library,1
274,Ilha da Gigóia,ferry_terminal,2
275,Héroes del Cenepa,university,2
276,Huaihuén,kindergarten,1
277,Hipolito Yrigoyen,townhall,1
278,Guatemala,taxi,1
279,Gran Colombia,bank,1
280,Graciana Amaral,car_wash,1
281,Gonzales Chaves,school,1
282,General López,theatre,1
283,General Jose De San Martin,parking_entrance,2
284,Gabriel José Luque,bus_station,1
285,Fundadores Del Canton,library,1
286,Freire,car_wash,1
287,Franco,place_of_worship,1
288,Francisco Miranda,police,1
289,Francia,restaurant,1
290,Florida,kindergarten,1
291,Federación,community_centre,1
292,Faixa de Táxi,taxi,1
293,Eugenio Espejo,taxi,1
294,Estrada para Praia,parking,1
295,Estrada do Terminal,ferry_terminal,1
296,Estrada Parque Zoológico,ferry_terminal,1
297,Estanislao Zeballos,bench,1
298,Emiliano Zapata,parking_entrance,1
299,Embarcadero,vending_machine,1
300,El Cocuy,hospital,1
301,El Bonito,police,1
302,Edmundo Martinez,doctors,1
303,Edifício Willy Schwarck,pub,1
304,Edificio ricaurte,parking,1
305,Edificio ricaurte,cafe,2
306,Edificio Palm Beach,parking_entrance,2
307,Edificio Cantegril,parking,1
308,E19a,place_of_worship,1
309,Diagonal 26P13,ortss,1
310,Del Pedregal,parking_entrance,2
311,Dante Alighieri,school,1
312,Daniel Ojeda,fire_station,1
313,Córdoba,community_centre,1
314,César Augusto Salazar,fuel,1
315,Cádiz,waste_disposal,1
316,C´aspichaca,bus_station,1
317,Cristóbal Colón,arts_centre,1
318,Cra 28 C Bis,parking_entrance,1
319,Conjunto Residencial Sierra Brava,parking_entrance,1
320,Conjunto João Goulart,place_of_worship,1
321,Condomínio Piazza Strauss,parking_entrance,1
322,Condomínio Dolce Villa,parking_entrance,1
323,Company Road,fuel,1
324,Colón,restaurant,1
325,Colonia indígena Ayoreos,ferry_terminal,1
326,Colina Club Residencial,restaurant,1
327,Colina Club Residencial,cafe,2
328,Colegio Vicente León,school,1
329,Citta Residence,bicycle_parking,2
330,Central Operativa de la Policía de Carreteras,parking_entrance,1
331,Cañaveral,restaurant,1
332,Cañaris,dentist,1
333,Carrera 9,public_building,1
334,Carrera 86G,waste_disposal,2
335,Carrera 8,school,2
336,Carrera 8,restaurant,1
337,Carrera 7P,doctors,1
338,Carrera 77,school,1
339,Carrera 77,fast_food,1
340,Carrera 75,school,1
341,Carrera 7,cafe,2
342,Carrera 6,marketplace,1
343,Carrera 5,studio,1
344,Carrera 44A,restaurant,1
345,Carrera 4,bus_station,1
346,Carrera 37,fast_food,1
347,Carrera 32,atm,1
348,Carrera 30B,parking_entrance,1
349,Carrera 3,place_of_worship,2
350,Carrera 28E4,parking_entrance,1
351,Carrera 28 E,parking_entrance,2
352,Carrera 28 D4,parking_entrance,3
353,Carrera 28 B,parking_entrance,1
354,Carrera 28,place_of_worship,1
355,Carrera 26M,ortss,1
356,Carrera 25,fuel,1
357,Carrera 23 a,parking,1
358,Carrera 21,taxi,1
359,Carrera 20; Pbro. Correa,place_of_worship,1
360,Carrera 20,parking_entrance,1
361,Carrera 20,townhall,1
362,Carrera 2,restaurant,1
363,Carrera 19,community_centre,1
364,Carrera 18R,school,1
365,Carrera 18,school,1
366,Carrera 15,bicycle_parking,2
367,Carrera 13,parking,1
368,Carrera 107B,cafe,1
369,Carrera 105A,restaurant,1
370,Carrera 103A,nightclub,1
371,Carpentier,parking_entrance,1
372,Carlos Mariategui,parking_entrance,1
373,Calle Yanacuna,bus_station,1
374,Calle Wawaki,bus_station,1
375,Calle Waldo Ballivián,bus_station,2
376,Calle Volcán Tolima,bus_station,2
377,Calle Villamontes,bus_station,1
378,Calle Viena,bus_station,2
379,Calle Tupac Katari,bus_station,1
380,Calle Trojes,bus_station,2
381,Calle Torres,police,1
382,Calle Tomás Barron,bus_station,2
383,Calle T. Achu,bus_station,2
384,Calle Sora-Sora,bus_station,2
385,Calle San Salvador,bus_station,2
386,Calle San Luis,bus_station,2
387,Calle Ruminawi,bus_station,1
388,Calle República de Nicaragua,bus_station,1
389,Calle República de Haití,bus_station,3
390,Calle República Dominicana,bus_station,4
391,Calle Rafael Bustillo-Norte,bus_station,2
392,Calle R. Levano,bus_station,1
393,Calle Qurisunqu,bus_station,2
394,Calle Quripacha,bus_station,2
395,Calle Qhochapampa,bus_station,2
396,Calle Provincia General José Ballivián,bus_station,2
397,Calle Provincia F. Baldivieso,bus_station,1
398,Calle Provincia Camacho,bus_station,1
399,Calle Pozo de Gas Boquerón,bus_station,2
400,Calle Porvenir,bus_station,1
401,Calle Portugal,bus_station,1
402,Calle Poopó,bus_station,2
403,Calle Pascual Canaviri,bus_station,1
404,Calle Papayo,bus_station,2
405,Calle Padre Bertha,bus_station,2
406,Calle Pachamit'a,bus_station,2
407,Calle Obrajes,bus_station,2
408,Calle Noruega,bus_station,2
409,Calle Niceto Rodriguez,bus_station,2
410,Calle Monseñor O. Arnulfo Romero,bus_station,2
411,Calle Mina San Pedro,bus_station,2
412,Calle María Luisa Pacheco,bus_station,1
413,Calle Manuel de Falla,bus_station,2
414,Calle M. R. Saravia de Lanza,bus_station,1
415,Calle Luis Zegarra,bus_station,2
416,Calle Lucia Alcocer,bus_station,1
417,Calle Litoral,bus_station,7
418,Calle Las Buganvillas,bus_station,2
419,Calle La Cascada,bus_station,1
420,Calle LL,school,1
421,Calle Juan Aldon,bus_station,1
422,Calle Jose Martinez,bus_station,1
423,Calle Jose Eduardo Guerra,bus_station,1
424,Calle Jorge Ugaeta,bus_station,2
425,Calle J. Macedonio Urquidi,bus_station,2
426,Calle J. M. Antezana,bus_station,1
427,Calle J. Canedo,bus_station,2
428,Calle Isla del Sol,bus_station,1
429,Calle Héroes de Boquerón,bus_station,1
430,Calle Hugo Almaraz,bus_station,1
431,Calle Honduras,bus_station,1
432,Calle Holanda,bus_station,2
433,Calle Hilario Carrasco,fast_food,1
434,Calle Grover Suarez,bus_station,2
435,Calle Grau,bank,1
436,Calle Gran Chaco,bus_station,2
437,Calle Gonzales Suarez,college,1
438,Calle Francisco de Goya,bus_station,1
439,Calle Francis Peyton Rous,bus_station,1
440,Calle Francia,bus_station,1
441,Calle Felix Reyes Ortiz,bus_station,1
442,Calle Esteban Arce,bus_station,2
443,Calle El Samán,hospital,1
444,Calle Echeandía,college,1
445,Calle Daniel Campos,school,1
446,Calle Curupau,bus_station,2
447,Calle Combate del Desaguadero,bus_station,1
448,Calle Combate de Chacaltaya,bus_station,2
449,Calle Charles Darwin,bus_station,2
450,Calle Canichana,bus_station,2
451,Calle Canasita,bus_station,1
452,Calle Camiri,bus_station,2
453,Calle Calamarca,bus_station,1
454,Calle Calama,waste_basket,1
455,Calle C,police,1
456,Calle Arq. Max Franz Carre,bus_station,1
457,Calle Arawaqui,bus_station,2
458,Calle Antofagasta,bus_station,2
459,Calle Alipio Valencia Vega,bus_station,1
460,Calle Alfredo Guillén,bus_station,1
461,Calle Albert Einstein,bus_station,1
462,Calle Acre,bus_station,2
463,Calle Achachairú,bus_station,2
464,Calle Abelia,bus_station,1
465,Calle A. Borda,bus_station,2
466,Calle 9,restaurant,2
467,Calle 82,parking,1
468,Calle 8,restaurant,1
469,Calle 72A,bank,1
470,Calle 7,police,1
471,Calle 69,cafe,1
472,Calle 67 Bis,school,1
473,Calle 64C,school,1
474,Calle 6,bus_station,2
475,Calle 6,dentist,1
476,Calle 5,atm,1
477,Calle 5,fast_food,1
478,Calle 48A,bank,1
479,Calle 46,college,1
480,Calle 41 Sur,fast_food,1
481,Calle 40A Sur,waste_disposal,1
482,Calle 40 Bis Sur,waste_disposal,1
483,Calle 40,restaurant,1
484,Calle 4 sur,place_of_worship,2
485,Calle 4,place_of_worship,3
486,Calle 33A,clock,1
487,Calle 3,cafe,1
488,Calle 3,restaurant,1
489,Calle 3,taxi,1
490,Calle 2A,bicycle_parking,1
491,Calle 26 Norte,doctors,1
492,Calle 22 Bis Norte,doctors,1
493,Calle 22,hospital,1
494,Calle 21a,Iglesia Inmaculado Corazon de Maria,1
495,Calle 21,restaurant,1
496,Calle 18 (Las alegres mañanitas),atm,2
497,Calle 18,public_bookcase,1
498,Calle 17,cafe,1
499,Calle 17,taxi,1
500,Calle 16,hospital,2
501,Calle 16,atm,1
502,Calle 15,university,1
503,Calle 15,pharmacy,1
504,Calle 14A,taxi,1
505,Calle 14,fuel,1
506,Calle 14,restaurant,1
507,Calle 133,restaurant,1
508,Calle 13 a,school,1
509,Calle 126,parking_entrance,1
510,Calle 125,parking_entrance,3
511,Calle 124,parking_entrance,1
512,Calle 121 B,parking_entrance,2
